task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
7d,S0,36,40,41,B_teacher,0,n13,296223,0.1933543310276379,0.3792261894098235,0.7722755124432457,0.7553020258736679,0.7541275193469739,0.8135414772769406,0.0,-0.3846509243128366,0.0169734865695777,0.8295027388296199,0.5746862773368077,0.0444097941039775,0.2376699116495292,1.2291936280214837,8183873.0,296223,16.0,,,,,,,,
7d,S0,36,40,41,B,0,n13,296223,0.1933543310276379,0.4017830980198087,0.8182115491474145,0.8058981283184494,0.8030426030628447,0.8336533099784535,0.0,-0.3201800050371158,0.012313420828965,0.7959929754044164,0.5335983438818681,0.0385818092278783,0.2319361402555162,1.1995394104844923,10052380.0,296223,11.9,8183873.0,,,,,,,
7d,S0,36,40,41,B_nofresh,0,n13,296223,0.1933543310276379,0.4049196258982563,0.824598934149464,0.8173169656634361,0.8136139299783346,0.8685748978934267,0.0,-0.2485292881776793,0.0072819684860278,0.7859867086552658,0.5279432865462677,0.0327972642431622,0.2226110051033991,1.1513111908084397,8183873.0,296223,9.9,8183873.0,,,,,,,
7d,S0,36,40,41,C,0,n13,296223,0.1933543310276379,0.3877612978695585,0.7896568416962663,0.7889978262380304,0.7896237618088844,1.0469003246937965,0.0,0.0743128085893631,0.0006590154582358,0.8056463602833184,0.5448750087954145,0.0134392331926586,0.1846922065710423,0.9552007735717208,10052380.0,296223,5.4,,0.1858769804239273,,,,,,
7d,S0,36,40,41,D,0,n13,296223,0.1933543310276379,0.3917854604031023,0.7978518510852116,0.7978491175544494,0.7977774024857709,0.9970477967638384,0.0,-0.0046898237466212,2.733530762188962e-06,0.7998268779774673,0.538250519846376,0.014132738925295,0.1939268424795847,1.002960944546233,,296223,4.5,,,10048963.0,9767244.0,1.687917574599851e-05,,,8183873.0
7d,S0,36,40,41,E,0,n13,296223,0.1933543310276379,0.398928275651806,0.8123978435839491,0.8069023006618253,0.8201466549818546,1.1457543923684743,0.0038113178247468,0.2158531348010492,0.0054955429221237,0.7896186043256898,0.5308699707956741,0.0256492677369611,0.168757224336658,0.8727874024840747,8183873.0,296223,7.0,,,,,,0.7194499528215001,4.521093368530273,
1d,S1,64,40,41,oracle,0,n13,296223,0.1436924209126232,0.3178380182258439,0.7721822785472005,0.7721653171471933,0.7722004139275567,1.0080338694189432,0.0,0.0121813630757456,1.6961400007176053e-05,0.8198615806763411,0.5025078676819318,0.0082120737464938,0.1425472151996751,0.9920301592410044,10052380.0,296223,5.5,,,,,,,,
1d,S1,64,40,41,A,0,n13,296223,0.1436924209126232,0.3187944447138055,0.7745059010919784,0.7744908657139463,0.7745388419115972,1.007550362403174,0.0,0.0114848898926945,1.5035378032046688e-05,0.8183906739919915,0.5001523461930282,0.0083207772077242,0.1426156212875484,0.9925062183639486,9767244.0,296223,5.4,,,,,,,,
1d,S1,64,40,41,B_teacher,0,n13,296223,0.1436924209126232,0.2976902286243439,0.7232335524979426,0.7206334329797582,0.7214975353154726,0.9105327078155218,0.0,-0.1532973653279404,0.0026001195181843,0.8510923706670988,0.5488135114796131,0.0141189566241143,0.1578113775367375,1.0982581860229064,9767244.0,296223,0.0,,,,,,,,
1d,S1,64,40,41,B,0,n13,296223,0.1436924209126232,0.3172338414854991,0.7707144410159674,0.7700603705970664,0.7700841790558065,0.9521765342673868,0.0,-0.075081392386758,0.0006540704189009,0.8219295740699994,0.5027338605068465,0.0104045216777225,0.1509094330109505,1.050225419353995,10052380.0,296223,11.9,9767244.0,,,,,,,
1d,S1,64,40,41,B_nofresh,0,n13,296223,0.1436924209126232,0.3180644936666543,0.7727324969348439,0.7721877733594498,0.7721516617396582,0.9562130492802194,0.0,-0.0685468396803397,0.0005447235753941,0.8207044108427641,0.5005770689442941,0.0102474020007514,0.1502723906777746,1.0457920447255356,9767244.0,296223,11.6,9767244.0,,,,,,,
1d,S1,64,40,41,C,0,n13,296223,0.1436924209126232,0.3178293199969488,0.7721611463420446,0.7721415211572275,0.7721826002809995,1.0086430573599343,0.0,0.0131077907548938,1.962518481712916e-05,0.8198980372125867,0.5025507322509499,0.0083157297328048,0.1424611212699267,0.9914310049557502,10052380.0,296223,6.0,,0.0283650252968072,,,,,,
1d,S1,64,40,41,D,0,n13,296223,0.1436924209126232,0.3182929729918494,0.7732875837268988,0.7732874141842893,0.7732932994834495,1.0008004056681337,2.025501058324303e-05,0.0012127338326334,1.695426095071895e-07,0.8196645882428918,0.5029265599910464,0.0111796860851953,0.1435775006672727,0.9992002344687309,,296223,10.5,,,10048963.0,9767244.0,2.025501089519821e-05,,,
1d,S1,64,40,41,E,0,n13,296223,0.1436924209126232,0.3155500165375572,0.7666236157829316,0.7666225583603773,0.766615643504175,0.9980166474113004,0.0,-0.0030476275348661,1.0574225542958615e-06,0.822922887528756,0.509221764530688,0.0076880147433868,0.1439779800119958,1.0019872940935848,9767244.0,296223,5.1,,,,,,0.7032958898302196,3.3976681232452397,
7d,S1,64,40,41,oracle,0,n13,296223,0.1933543310276379,0.3833571372838831,0.780687984934348,0.7800957464710485,0.7805144251545171,1.044441843727591,3.0382515874864543e-05,0.0703372265647734,0.0005922384632994,0.812131291198314,0.5505036281899738,0.0107000197007626,0.1851269481291178,0.9574491926051344,10052380.0,296223,5.4,,,,,,,,
7d,S1,64,40,41,A,0,n13,296223,0.1933543310276379,0.3947458139053102,0.8038804656212718,0.8034234349683489,0.8041343947842572,1.0387927387881304,0.0,0.0618832166170956,0.0004570306529229,0.7936188471672355,0.5330416072882186,0.0147493237889308,0.1861336952096986,0.9626559395925444,8183873.0,296223,4.3,,,,,,,,
7d,S1,64,40,41,B_teacher,0,n13,296223,0.1933543310276379,0.3792261894098235,0.7722755124432457,0.7553020258736679,0.7541275193469739,0.8135414772769406,0.0,-0.3846509243128366,0.0169734865695777,0.8295027388296199,0.5746862773368077,0.0444097941039775,0.2376699116495292,1.2291936280214837,8183873.0,296223,0.0,,,,,,,,
